INSTRUMENTO|CLASS_NAME|FUND_NAME|GROUP_NAME|GROUP_CODE|SERIE_GROUP|SERIE_RANGE|LOCAL_SHAREHOLDER_GROUP|FOREIGN_CUSTOMERS|PHYSICAL_PERSONS|MORAL_PERSONS|MORAL_EXEMPT_SHAREHOLDERS|MORAL_TAXABLE_SHAREHOLDERS|PHYSICAL_EXEMPT_SHAREHOLDERS|PHYSICAL_TAXABLE_SHAREHOLDERS|ISR|BUY|SELL|MIN_FIRST_BUY|MIN_SUBSEQUENT_BUY|MIN_INVESTMENT|MAX_INVESTMENT|INSTRUMENT_OID|FUND_SHARE_OID|FUND_SERIE_OID|FUND_OID|QUALIFIER|SOURCE_CODE|NAME|MARKET_TYPE|IS_DEFAULT|INSTRUMENT_SHORT_NAME|INSTRUMENT_OID_1|DATE_|BID|AVERAGE|OFFER|ACTUALIZED|QUALIFIER_1
ORION-B-3|B-3|ORION|PF, Fideicomisos, Distribuidores|B|B|1|1|1|1|0|0|0|1|1|0|1|1|0.01|0|1000000||514636|500617|500421|500104||Oper|Oper|PRICE_TYPE_NONSENSE|1|ORION-B-3|514636|2020-04-30 00.00.00.000000000|9.925758|9.925758|9.925758|1|
ESFERA-E|E|ESFERA|Exentas|E|E|0|1|1|1|1|1|0|1|0|1|1|1||0|||514366|500346|500230|500070||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ESFERA-E|514366|2020-04-30 00.00.00.000000000|5.965176|5.965176|5.965176|1|
ESFERA-M|M|ESFERA|PM, Fideicomisos, Distribuidoras|M|M|0|1|1|0|1|1|1|0|0|0|1|1||0|||514367|500347|500231|500070||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ESFERA-M|514367|2020-04-30 00.00.00.000000000|1.113796|1.113796|1.113796|1|
ESFERA-B|B|ESFERA|PF, Fideicomisos, Distribuidores|B|B|0|1|1|1|0|0|0|1|1|0|1|1||0|||514368|500348|500232|500070||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ESFERA-B|514368|2020-04-30 00.00.00.000000000|2.542784|2.542784|2.542784|1|
ESFERA-FF|FF|ESFERA|Fondo de Fondos|FF|FF|0|1|0|0|1|0|1|0|0|0|1|1||0|||514369|500349|500233|500070||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ESFERA-FF|514369|2020-04-30 00.00.00.000000000|5.342225|5.342225|5.342225|1|
ESFERA-A|A|ESFERA|SERIE DE CAPITAL INICIAL|A|A|0|1|0|0|1|0|1|0|0|1|0|0||0|||514370|500350|500234|500070||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ESFERA-A|514370|2020-04-30 00.00.00.000000000|8.791723|8.791723|8.791723|1|
ACTICOB-E|E|ACTICOB|Exentas|E|E|0|1|1|1|1|1|0|1|0|1|1|1||0|||514402|500382|500259|500075||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTICOB-E|514402|2020-04-30 00.00.00.000000000|4.636273|4.636273|4.636273|1|
ACTICOB-B|B|ACTICOB|PF, Fideicomisos, Distribuidores|B|B|0|1|1|1|0|0|0|1|1|0|1|1||0|||514403|500383|500260|500075||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTICOB-B|514403|2020-04-30 00.00.00.000000000|6.547525|6.547525|6.547525|1|
ACTICOB-A|A|ACTICOB|SERIE DE CAPITAL INICIAL|A|A|0|1|0|0|1|0|1|0|0|1|0|0||0|||514404|500384|500261|500075||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTICOB-A|514404|2020-04-30 00.00.00.000000000|5.504806|5.504806|5.504806|1|
ACTICOB-C|C|ACTICOB|Gestión de Inversión|C|C|0|1|1|1|1|1|1|1|1|0|1|1||0|||514405|500385|500262|500075||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTICOB-C|514405|2020-04-30 00.00.00.000000000|4.623384|4.623384|4.623384|1|
ACTICOB-CE|CE|ACTICOB|PM No Contribuyentes|CE|CE|0|1|1|0|1|1|0|0|0|1|1|1||0|||514406|500386|500263|500075||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTICOB-CE|514406|2020-04-30 00.00.00.000000000|8.83801|8.83801|8.83801|1|
ACTICOB-M|M|ACTICOB|PM, Fideicomisos, Distribuidoras|M|M|0|1|1|0|1|1|1|0|0|0|1|1||0|||514407|500387|500264|500075||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTICOB-M|514407|2020-04-30 00.00.00.000000000|5.013296|5.013296|5.013296|1|
ACTICOB-FF|FF|ACTICOB|Fondo de Fondos|FF|FF|0|1|0|0|1|0|1|0|0|0|1|1||0|||514408|500388|500265|500075||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTICOB-FF|514408|2020-04-30 00.00.00.000000000|1.648392|1.648392|1.648392|1|
ACTICRE-FF|FF|ACTICRE|Fondo de Fondos|FF|FF|0|1|0|0|1|0|1|0|0|0|1|1||0|||514409|500389|500266|500076||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTICRE-FF|514409|2020-04-30 00.00.00.000000000|5.251206|5.251206|5.251206|1|
ACTICRE-A|A|ACTICRE|SERIE DE CAPITAL INICIAL|A|A|0|1|0|0|1|0|1|0|0|1|0|0||0|||514410|500390|500267|500076||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTICRE-A|514410|2020-04-30 00.00.00.000000000|7.299965|7.299965|7.299965|1|
ACTICRE-D|D|ACTICRE|DISTRIBUIDORAS|D|D|0|1|0|1|1|1|1|1|1|0|1|1||0|||514411|500391|500268|500076||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTICRE-D|514411|2020-04-30 00.00.00.000000000|4.195928|4.195928|4.195928|1|
ACTICRE-I|I|ACTICRE|PF, PM, Fideicomisos, PPR|BI|BI|1|1|1|1|1|1|1|1|1|0|1|1|0.01|0|100000000||514412|500393|500269|500076||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTICRE-I|514412|2020-04-30 00.00.00.000000000|5.171588|5.171588|5.171588|1|
ACTICRE-B|B|ACTICRE|PF, PM, Fideicomisos, PPR|BI|BI|1|1|1|1|1|1|1|1|1|0|1|1|0.01|0|0|99999999.99|514413|500392|500269|500076||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTICRE-B|514413|2020-04-30 00.00.00.000000000|10.644538|10.644538|10.644538|1|
ACTIGOB-CE|CE|ACTIGOB|PM No Contribuyentes|CE|CE|0|1|1|0|1|1|0|0|0|1|1|1||0|||514414|500394|500270|500077||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTIGOB-CE|514414|2020-04-30 00.00.00.000000000|8.741233|8.741233|8.741233|1|
ESFERA-C|C|ESFERA|Gestión de Inversión|C|C|0|1|1|1|1|1|1|1|1|0|1|1||0|||514365|500345|500229|500070||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ESFERA-C|514365|2020-04-30 00.00.00.000000000|4.351575|4.351575|4.351575|1|
ACTIGOB-GE|GE|ACTIGOB|Exentas|EGE|EGE|1|1|1|1|1|1|0|1|0|1|1|1|0.01|0|100000000.01|250000000|514415|500395|500271|500077||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTIGOB-GE|514415|2020-04-30 00.00.00.000000000|8.618053|8.618053|8.618053|1|
PRUEM-B-3|B-3|PRUEM|PF, Fideicomisos, Distribuidores|B|B|0|1|1|1|0|0|0|1|1|1|0|0||0|||514646|500626|500429|500106||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|PRUEM-B-3|514646|2020-04-30 00.00.00.000000000|4.522535|4.522535|4.522535|1|
PRUEM-B-6|B-6|PRUEM|PF, Fideicomisos, Distribuidores|B|B|0|1|1|1|0|0|0|1|1|1|0|0||0|||514647|500630|500429|500106||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|PRUEM-B-6|514647|2020-04-30 00.00.00.000000000|9.359057|9.359057|9.359057|1|
PRUEM-B-1|B-1|PRUEM|PF, Fideicomisos, Distribuidores|B|B|0|1|1|1|0|0|0|1|1|1|0|0||0|||514648|500625|500429|500106||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|PRUEM-B-1|514648|2020-04-30 00.00.00.000000000|9.241043|9.241043|9.241043|1|
PRUEM-B-5|B-5|PRUEM|PF, Fideicomisos, Distribuidores|B|B|0|1|1|1|0|0|0|1|1|1|0|0||0|||514649|500629|500429|500106||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|PRUEM-B-5|514649|2020-04-30 00.00.00.000000000|3.211537|3.211537|3.211537|1|
PRUEM-B-4|B-4|PRUEM|PF, Fideicomisos, Distribuidores|B|B|0|1|1|1|0|0|0|1|1|1|0|0||0|||514650|500628|500429|500106||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|PRUEM-B-4|514650|2020-04-30 00.00.00.000000000|8.242941|8.242941|8.242941|1|
PRUEM-C|C|PRUEM|Gestión de Inversión|C|C|0|1|1|0|1|0|1|0|0|1|0|0||0|||514651|500631|500430|500106||Oper|Oper|PRICE_TYPE_NONSENSE|1|PRUEM-C|514651|2020-04-30 00.00.00.000000000|1.69097|1.69097|1.69097|1|
ORION-B-1|B-1|ORION|PF, Fideicomisos, Distribuidores|B|B|1|1|1|1|0|0|0|1|1|0|1|1|0.01|0|0|99999.99|514637|500615|500421|500104||Oper|Oper|PRICE_TYPE_NONSENSE|1|ORION-B-1|514637|2020-04-30 00.00.00.000000000|3.619986|3.619986|3.619986|1|
ORION-C|C|ORION|Gestión de Inversión|C|C|0|1|1|1|1|1|1|1|1|0|1|1||0|||514638|500618|500422|500104||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ORION-C|514638|2020-04-30 00.00.00.000000000|2.310221|2.310221|2.310221|1|
ORION-A|A|ORION|SERIE DE CAPITAL INICIAL|A|A|0|1|0|0|1|0|1|0|0|1|0|0||0|||514639|500619|500423|500104||Oper|Oper|PRICE_TYPE_NONSENSE|1|ORION-A|514639|2020-04-30 00.00.00.000000000|5.011064|5.011064|5.011064|1|
PRUEM-B-2|B-2|PRUEM|PF, Fideicomisos, Distribuidores|B|B|0|1|1|1|0|0|0|1|1|1|0|0||0|||514645|500627|500429|500106||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|PRUEM-B-2|514645|2020-04-30 00.00.00.000000000|4.892187|4.892187|4.892187|1|
PRUEM-E|E|PRUEM|Exentas|E|E|0|1|0|0|1|1|0|0|0|1|0|0||0|||514652|500632|500431|500106||Oper|Oper|PRICE_TYPE_NONSENSE|1|PRUEM-E|514652|2020-04-30 00.00.00.000000000|3.841618|3.841618|3.841618|1|
PRUEM-A|A|PRUEM|SERIE DE CAPITAL INICIAL|A|A|0|1|0|0|1|0|1|0|0|1|0|0||0|||514653|500633|500432|500106||Oper|Oper|PRICE_TYPE_NONSENSE|1|PRUEM-A|514653|2020-04-30 00.00.00.000000000|5.296863|5.296863|5.296863|1|
PRUREF-A|A|PRUREF|SERIE DE CAPITAL INICIAL|A|A|0|1|0|0|1|0|1|0|0|1|0|0||0|||514654|500634|500433|500107||Oper|Oper|PRICE_TYPE_NONSENSE|1|PRUREF-A|514654|2020-04-30 00.00.00.000000000|9.621638|9.621638|9.621638|1|
PRUREF-B5|B5|PRUREF|PF, Fideicomisos, Distribuidores|B|B|1|1|1|1|1|0|1|1|1|1|0|0|10000|0|40000000||514655|500637|500434|500107||Oper|Oper|PRICE_TYPE_NONSENSE|1|PRUREF-B5|514655|2020-04-30 00.00.00.000000000|3.409556|3.409556|3.409556|1|
PRUREF-B3|B3|PRUREF|PF, Fideicomisos, Distribuidores|B|B|1|1|1|1|1|0|1|1|1|1|0|0|10000|0|3000000|9999999.99|514656|500638|500434|500107||Oper|Oper|PRICE_TYPE_NONSENSE|1|PRUREF-B3|514656|2020-04-30 00.00.00.000000000|4.09664|4.09664|4.09664|1|
PRUREF-B1|B1|PRUREF|PF, Fideicomisos, Distribuidores|B|B|1|1|1|1|1|0|1|1|1|1|0|0|10000|0|0|999999.99|514657|500639|500434|500107||Oper|Oper|PRICE_TYPE_NONSENSE|1|PRUREF-B1|514657|2020-04-30 00.00.00.000000000|2.615761|2.615761|2.615761|1|
PRUREF-B2|B2|PRUREF|PF, Fideicomisos, Distribuidores|B|B|1|1|1|1|1|0|1|1|1|1|0|0|10000|0|1000000|2999999.99|514658|500636|500434|500107||Oper|Oper|PRICE_TYPE_NONSENSE|1|PRUREF-B2|514658|2020-04-30 00.00.00.000000000|4.48142|4.48142|4.48142|1|
PRUREF-B4|B4|PRUREF|PF, Fideicomisos, Distribuidores|B|B|1|1|1|1|1|0|1|1|1|1|0|0|10000|0|10000000|39999999.99|514659|500635|500434|500107||Oper|Oper|PRICE_TYPE_NONSENSE|1|PRUREF-B4|514659|2020-04-30 00.00.00.000000000|3.748752|3.748752|3.748752|1|
PRUREF-E|E|PRUREF|Exentas|E|E|0|1|0|0|1|1|0|0|0|1|0|0||0|||514660|500640|500435|500107||Oper|Oper|PRICE_TYPE_NONSENSE|1|PRUREF-E|514660|2020-04-30 00.00.00.000000000|9.334086|9.334086|9.334086|1|
SNX-I|I|SNX|PF, PM, Fideicomisos, PPR|I|I|0|1|1|1|1|1|1|1|1|0|1|1||0|||514661|500641|500436|500108||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|SNX-I|514661|2020-04-30 00.00.00.000000000|9.581783|9.581783|9.581783|1|
SALUD-A|A|SALUD|Serie de Capital Inicial|A|A|0|1|0|0|1|0|1|0|0|1|0|0||0|||514343|500323|500211|500067||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|SALUD-A|514343|2020-04-30 00.00.00.000000000|8.886653|8.886653|8.886653|1|
SALUD-C|C|SALUD|Gestión de Inversión|C|C|0|1|1|1|1|1|1|1|1|0|1|1||0|||514344|500324|500212|500067||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|SALUD-C|514344|2020-04-30 00.00.00.000000000|10.459199|10.459199|10.459199|1|
SALUD-E|E|SALUD|Exentas|E|E|0|1|1|1|1|1|0|1|0|1|1|1||0|||514345|500325|500213|500067||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|SALUD-E|514345|2020-04-30 00.00.00.000000000|10.789531|10.789531|10.789531|1|
SALUD-M|M|SALUD|PM, Fideicomisos, Distribuidoras|M|M|0|1|1|0|1|1|1|0|0|0|1|1||0|||514346|500326|500214|500067||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|SALUD-M|514346|2020-04-30 00.00.00.000000000|5.4408|5.4408|5.4408|1|
SALUD-B|B|SALUD|PF, Fideicomisos, Distribuidores|B|B|0|1|1|1|0|0|0|1|1|0|1|1||0|||514347|500327|500215|500067||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|SALUD-B|514347|2020-04-30 00.00.00.000000000|4.561782|4.561782|4.561782|1|
SALUD-FF|FF|SALUD|Fondo de Fondos|FF|FF|0|1|0|0|1|0|1|0|0|0|1|1||0|||514348|500328|500216|500067||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|SALUD-FF|514348|2020-04-30 00.00.00.000000000|2.675581|2.675581|2.675581|1|
ACTIGOB-GE1|GE1|ACTIGOB|Exentas|EGE|EGE|1|1|1|1|1|1|0|1|0|1|1|1|0.01|0|250000000.01||514416|500396|500271|500077||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTIGOB-GE1|514416|2020-04-30 00.00.00.000000000|8.532255|8.532255|8.532255|1|
ACTIGOB-E|E|ACTIGOB|Exentas|EGE|EGE|1|1|1|1|1|1|0|1|0|1|1|1|0.01|0|0|100000000|514417|500397|500271|500077||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTIGOB-E|514417|2020-04-30 00.00.00.000000000|7.342344|7.342344|7.342344|1|
ACTIGOB-A|A|ACTIGOB|SERIE DE CAPITAL INICIAL|A|A|0|1|0|0|1|0|1|0|0|1|0|0||0|||514418|500398|500272|500077||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTIGOB-A|514418|2020-04-30 00.00.00.000000000|7.46471|7.46471|7.46471|1|
ACTIGOB-B|B|ACTIGOB|PF, Fideicomisos, Distribuidores|B|B|0|1|1|1|0|0|0|1|1|0|1|1||0|||514419|500399|500273|500077||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTIGOB-B|514419|2020-04-30 00.00.00.000000000|10.099667|10.099667|10.099667|1|
ACTIGOB-G1|G1|ACTIGOB|PM, Fideicomisos, Distribuidoras|MG|MG|1|1|1|0|1|1|1|0|0|0|1|1|0.01|0|250000000.01||514420|500402|500274|500077||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTIGOB-G1|514420|2020-04-30 00.00.00.000000000|4.362402|4.362402|4.362402|1|
ACTIGOB-M-1|M-1|ACTIGOB|PM, Fideicomisos, Distribuidoras|MG|MG|1|1|1|0|1|1|1|0|0|0|1|1|0.01|0|0|1000000|514421|500400|500274|500077||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTIGOB-M-1|514421|2020-04-30 00.00.00.000000000|3.881998|3.881998|3.881998|1|
ACTIGOB-G|G|ACTIGOB|PM, Fideicomisos, Distribuidoras|MG|MG|1|1|1|0|1|1|1|0|0|0|1|1|0.01|0|100000000.01|250000000|514422|500401|500274|500077||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTIGOB-G|514422|2020-04-30 00.00.00.000000000|6.873638|6.873638|6.873638|1|
ACTIGOB-M-3|M-3|ACTIGOB|PM, Fideicomisos, Distribuidoras|MG|MG|1|1|1|0|1|1|1|0|0|0|1|1|0.01|0|3000000.01|100000000|514423|500404|500274|500077||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTIGOB-M-3|514423|2020-04-30 00.00.00.000000000|7.937547|7.937547|7.937547|1|
ACTIGOB-M-2|M-2|ACTIGOB|PM, Fideicomisos, Distribuidoras|MG|MG|1|1|1|0|1|1|1|0|0|0|1|1|0.01|0|1000000.01|3000000|514424|500403|500274|500077||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTIGOB-M-2|514424|2020-04-30 00.00.00.000000000|10.824313|10.824313|10.824313|1|
ACTIGOB-C|C|ACTIGOB|Gestión de Inversión|C|C|0|1|1|1|1|1|1|1|1|0|1|1||0|||514425|500405|500275|500077||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTIGOB-C|514425|2020-04-30 00.00.00.000000000|6.105107|6.105107|6.105107|1|
ACTIGOB-FF|FF|ACTIGOB|Fondo de Fondos|FF|FF|0|1|0|0|1|0|1|0|0|0|1|1||0|||514426|500406|500276|500077||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTIGOB-FF|514426|2020-04-30 00.00.00.000000000|7.916976|7.916976|7.916976|1|
+VALOR-B3|B3|+VALOR|PF, PM|B3|B3|0|1|1|1|1|0|1|1|1|1|1|1||0|||514454|500434|500300|500083||Oper|Oper|PRICE_TYPE_NONSENSE|1|+VALOR-B3|514454|2020-04-30 00.00.00.000000000|8.840717|8.840717|8.840717|1|
+VALOR-FF|FF|+VALOR|Fondo de Fondos|FF|FF|0|1|0|0|1|0|1|0|0|1|1|1||0|||514455|500435|500301|500083||Oper|Oper|PRICE_TYPE_NONSENSE|1|+VALOR-FF|514455|2020-04-30 00.00.00.000000000|3.10233|3.10233|3.10233|1|
+VALOR-B2|B2|+VALOR|PF, PM|B2|B2|0|1|0|1|1|0|1|1|1|1|1|1||0|||514456|500436|500302|500083||Oper|Oper|PRICE_TYPE_NONSENSE|1|+VALOR-B2|514456|2020-04-30 00.00.00.000000000|8.257642|8.257642|8.257642|1|
ACTIPT1-I|I|ACTIPT1|PF, PM, Fideicomisos, PPR|BI|BI|1|1|1|1|1|1|1|1|1|0|1|1|0.01|0|100000000||514577|500557|500385|500098||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTIPT1-I|514577|2020-04-30 00.00.00.000000000|5.889917|5.889917|5.889917|1|
ACTIPT1-B|B|ACTIPT1|PF, PM, Fideicomisos, PPR|BI|BI|1|1|1|1|1|1|1|1|1|0|1|1|0.01|0|0|99999999.99|514578|500558|500385|500098||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTIPT1-B|514578|2020-04-30 00.00.00.000000000|4.566341|4.566341|4.566341|1|
ACTIPT1-FF|FF|ACTIPT1|Fondo de Fondos|FF|FF|0|1|0|0|1|0|1|0|0|0|1|1||0|||514579|500559|500386|500098||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTIPT1-FF|514579|2020-04-30 00.00.00.000000000|2.711495|2.711495|2.711495|1|
ACTIPT1-A|A|ACTIPT1|SERIE DE CAPITAL INICIAL|A|A|0|1|0|0|1|0|1|0|0|1|0|0||0|||514580|500560|500387|500098||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTIPT1-A|514580|2020-04-30 00.00.00.000000000|3.229172|3.229172|3.229172|1|
ACTIPT1-D|D|ACTIPT1|DISTRIBUIDORAS|D|D|0|1|0|1|1|1|1|1|1|0|1|1||0|||514581|500561|500388|500098||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTIPT1-D|514581|2020-04-30 00.00.00.000000000|3.065878|3.065878|3.065878|1|
ACTIPT1-E|E|ACTIPT1|Exentas|E|E|0|1|1|1|1|1|0|1|0|1|1|1||0|||514582|500562|500389|500098||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTIPT1-E|514582|2020-04-30 00.00.00.000000000|7.374729|7.374729|7.374729|1|
SNX-A|A|SNX|SERIE DE CAPITAL INICIAL|A|A|0|1|0|0|1|0|1|0|0|1|0|0||0|||514662|500642|500437|500108||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|SNX-A|514662|2020-04-30 00.00.00.000000000|8.91912|8.91912|8.91912|1|
SNX-D|D|SNX|DISTRIBUIDORAS|D|D|0|1|0|1|1|1|1|1|1|0|1|1||0|||514663|500643|500438|500108||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|SNX-D|514663|2020-04-30 00.00.00.000000000|1.565323|1.565323|1.565323|1|
SNX-B|B|SNX|PF, PM, Fideicomisos, PPR|B|B|0|1|1|1|1|1|1|1|1|0|1|1||0|||514664|500644|500439|500108||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|SNX-B|514664|2020-04-30 00.00.00.000000000|5.913492|5.913492|5.913492|1|
SNX-FF|FF|SNX|FONDO DE FONDOS|FF|FF|0|1|0|0|1|0|1|0|0|0|1|1||0|||514665|500645|500440|500108||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|SNX-FF|514665|2020-04-30 00.00.00.000000000|1.804345|1.804345|1.804345|1|
SNX-E|E|SNX|Exentas|E|E|0|1|1|1|1|1|0|1|0|1|1|1||0|||514666|500646|500441|500108||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|SNX-E|514666|2020-04-30 00.00.00.000000000|4.686846|4.686846|4.686846|1|
VTLS-RF-E-3|E-3|VTLS-RF|Exentas|E|E|1|1|1|1|1|1|0|1|0|1|1|1|10000|0|50000000||514667|500649|500442|500109||Oper|Oper|PRICE_TYPE_NONSENSE|1|VTLS-RF-E-3|514667|2020-04-30 00.00.00.000000000|2.112104|2.112104|2.112104|1|
VTLS-RF-E-2|E-2|VTLS-RF|Exentas|E|E|1|1|1|1|1|1|0|1|0|1|1|1|10000|0|20000000|49999999.99|514668|500648|500442|500109||Oper|Oper|PRICE_TYPE_NONSENSE|1|VTLS-RF-E-2|514668|2020-04-30 00.00.00.000000000|5.649197|5.649197|5.649197|1|
VTLS-RF-E-1|E-1|VTLS-RF|Exentas|E|E|1|1|1|1|1|1|0|1|0|1|1|1|10000|0|0|19999999.99|514669|500647|500442|500109||Oper|Oper|PRICE_TYPE_NONSENSE|1|VTLS-RF-E-1|514669|2020-04-30 00.00.00.000000000|5.158942|5.158942|5.158942|1|
VTLS-RF-A|A|VTLS-RF|SERIE DE CAPITAL INICIAL|A|A|0|1|0|0|1|0|1|0|0|1|0|0||0|||514670|500650|500443|500109||Oper|Oper|PRICE_TYPE_NONSENSE|1|VTLS-RF-A|514670|2020-04-30 00.00.00.000000000|6.320193|6.320193|6.320193|1|
VTLS-RF-B-1|B-1|VTLS-RF|PF, Fideicomisos, Distribuidores|B|B|1|1|1|1|0|0|0|1|1|0|1|1|1000|0|0|19999999.99|514671|500651|500444|500109||Oper|Oper|PRICE_TYPE_NONSENSE|1|VTLS-RF-B-1|514671|2020-04-30 00.00.00.000000000|4.232082|4.232082|4.232082|1|
VTLS-RF-B-3|B-3|VTLS-RF|PF, Fideicomisos, Distribuidores|B|B|1|1|1|1|0|0|0|1|1|0|1|1|1000|0|50000000||514672|500653|500444|500109||Oper|Oper|PRICE_TYPE_NONSENSE|1|VTLS-RF-B-3|514672|2020-04-30 00.00.00.000000000|4.254836|4.254836|4.254836|1|
VTLS-RF-B-2|B-2|VTLS-RF|PF, Fideicomisos, Distribuidores|B|B|1|1|1|1|0|0|0|1|1|0|1|1|1000|0|20000000|49999999.99|514673|500652|500444|500109||Oper|Oper|PRICE_TYPE_NONSENSE|1|VTLS-RF-B-2|514673|2020-04-30 00.00.00.000000000|6.866009|6.866009|6.866009|1|
VTLS-RF-M-1|M-1|VTLS-RF|PM, Fideicomisos, Distribuidoras|M|M|1|1|1|0|1|1|1|0|0|0|1|1|10000|0|0|19999999.99|514674|500656|500445|500109||Oper|Oper|PRICE_TYPE_NONSENSE|1|VTLS-RF-M-1|514674|2020-04-30 00.00.00.000000000|8.7582|8.7582|8.7582|1|
VTLS-RF-M-3|M-3|VTLS-RF|PM, Fideicomisos, Distribuidoras|M|M|1|1|1|0|1|1|1|0|0|0|1|1|10000|0|50000000||514675|500654|500445|500109||Oper|Oper|PRICE_TYPE_NONSENSE|1|VTLS-RF-M-3|514675|2020-04-30 00.00.00.000000000|7.73745|7.73745|7.73745|1|
+VALOR-A|A|+VALOR|SERIE DE CAPITAL INICIAL|A|A|0|1|1|0|1|0|1|0|0|1|0|0||0|||514458|500438|500304|500083||Oper|Oper|PRICE_TYPE_NONSENSE|1|+VALOR-A|514458|2020-04-30 00.00.00.000000000|4.620224|4.620224|4.620224|1|
+VALOR-B1|B1|+VALOR|PF, PM|B1|B1|0|1|0|1|1|0|1|1|1|1|1|1||0|||514459|500439|500305|500083||Oper|Oper|PRICE_TYPE_NONSENSE|1|+VALOR-B1|514459|2020-04-30 00.00.00.000000000|9.596608|9.596608|9.596608|1|
+VALOR-D|D|+VALOR|DISTRIBUIDORAS|D|D|0|1|0|1|1|1|1|1|1|0|1|1||0|||514460|500440|500306|500083||Oper|Oper|PRICE_TYPE_NONSENSE|1|+VALOR-D|514460|2020-04-30 00.00.00.000000000|2.014918|2.014918|2.014918|1|
+VALOR-E|E|+VALOR|Exentas|E|E|0|1|1|1|1|1|0|1|1|0|1|1||0|||514461|500441|500307|500083||Oper|Oper|PRICE_TYPE_NONSENSE|1|+VALOR-E|514461|2020-04-30 00.00.00.000000000|10.642901|10.642901|10.642901|1|
ACTVIDA-FF|FF|ACTVIDA|FONDO DE FONDOS|FF|FF|0|1|0|0|1|0|1|0|0|0|1|1||0|||514462|500442|500308|500084||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTVIDA-FF|514462|2020-04-30 00.00.00.000000000|3.009047|3.009047|3.009047|1|
ACTVIDA-B|B|ACTVIDA|PF, Fideicomisos, Distribuidores|B|B|0|1|1|1|0|0|0|1|1|0|1|1||0|||514463|500443|500309|500084||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTVIDA-B|514463|2020-04-30 00.00.00.000000000|7.97431|7.97431|7.97431|1|
ACTVIDA-E|E|ACTVIDA|Exentas|E|E|0|1|1|1|1|1|0|1|0|1|1|1||0|||514464|500444|500310|500084||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTVIDA-E|514464|2020-04-30 00.00.00.000000000|9.599088|9.599088|9.599088|1|
