"INSTRUMENTO","CLASS_NAME","FUND_NAME","GROUP_NAME","GROUP_CODE","SERIE_GROUP","SERIE_RANGE","LOCAL_SHAREHOLDER_GROUP","FOREIGN_CUSTOMERS","PHYSICAL_PERSONS","MORAL_PERSONS","MORAL_EXEMPT_SHAREHOLDERS","MORAL_TAXABLE_SHAREHOLDERS","PHYSICAL_EXEMPT_SHAREHOLDERS","PHYSICAL_TAXABLE_SHAREHOLDERS","ISR","BUY","SELL","MIN_FIRST_BUY","MIN_SUBSEQUENT_BUY","MIN_INVESTMENT","MAX_INVESTMENT","INSTRUMENT_OID","FUND_SHARE_OID","FUND_SERIE_OID","FUND_OID","QUALIFIER"
"EVEREST-F-3","F-3","EVEREST","PF Extranjeros","F","F",1,0,1,1,0,0,0,1,1,0,1,1,0.01,0,1000000,29999999.99,514529,500508,500353,500092,""
"EVEREST-F-4","F-4","EVEREST","PF Extranjeros","F","F",1,0,1,1,0,0,0,1,1,0,1,1,0.01,0,30000000,,514527,500509,500353,500092,""
"EVEREST-F-2","F-2","EVEREST","PF Extranjeros","F","F",1,0,1,1,0,0,0,1,1,0,1,1,0.01,0,100000,999999.99,514530,500510,500353,500092,""
"EVEREST-B-4","B-4","EVEREST","PF, Fideicomisos, Distribuidores","B","B",1,1,0,1,0,0,0,1,1,0,1,1,0.01,0,30000000,,514532,500511,500354,500092,""
"EVEREST-B-1","B-1","EVEREST","PF, Fideicomisos, Distribuidores","B","B",1,1,0,1,0,0,0,1,1,0,1,1,0.01,0,0,99999.99,514534,500512,500354,500092,""
"EVEREST-B-3","B-3","EVEREST","PF, Fideicomisos, Distribuidores","B","B",1,1,0,1,0,0,0,1,1,0,1,1,0.01,0,1000000,29999999.99,514531,500513,500354,500092,""
"EVEREST-B-2","B-2","EVEREST","PF, Fideicomisos, Distribuidores","B","B",1,1,0,1,0,0,0,1,1,0,1,1,0.01,0,100000,999999.99,514533,500514,500354,500092,""
"EVEREST-M-4","M-4","EVEREST","PM, Fideicomisos, Distribuidoras","M","M",1,1,0,0,1,1,1,0,0,0,1,1,0.01,0,50000000,,514538,500515,500355,500092,""
"EVEREST-M-1","M-1","EVEREST","PM, Fideicomisos, Distribuidoras","M","M",1,1,0,0,1,1,1,0,0,0,1,1,0.01,0,0,999999.99,514537,500516,500355,500092,""
"EVEREST-M-2","M-2","EVEREST","PM, Fideicomisos, Distribuidoras","M","M",1,1,0,0,1,1,1,0,0,0,1,1,0.01,0,1000000,2999999.99,514536,500517,500355,500092,""
"EVEREST-M-3","M-3","EVEREST","PM, Fideicomisos, Distribuidoras","M","M",1,1,0,0,1,1,1,0,0,0,1,1,0.01,0,3000000,49999999.99,514535,500518,500355,500092,""
"MAYA-C","C","MAYA","Gestión de Inversión","C","C",0,1,1,1,1,1,1,1,1,0,1,1,,0,,,514539,500519,500356,500093,""
"MAYA-B","B","MAYA","PF, Fideicomisos, Distribuidores","B","B",0,1,1,1,0,0,0,1,1,0,1,1,,0,,,514540,500520,500357,500093,""
"MAYA-M","M","MAYA","PM, Fideicomisos, Distribuidoras","M","M",0,1,1,0,1,1,1,0,0,0,1,1,,0,,,514541,500521,500358,500093,""
"MAYA-E","E","MAYA","Exentas","E","E",0,1,1,1,1,1,0,1,0,1,1,1,,0,,,514542,500522,500359,500093,""
"MAYA-FF","FF","MAYA","FONDO DE FONDOS","FF","FF",0,1,0,0,1,0,1,0,0,0,1,1,,0,,,514543,500523,500360,500093,""
"MAYA-A","A","MAYA","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514544,500524,500361,500093,""
"OPTIMO-D","D","OPTIMO","DISTRIBUIDORAS","D","D",0,1,0,0,1,0,1,0,0,0,1,1,,0,,,514545,500525,500362,500094,""
"OPTIMO-B","B","OPTIMO","PF, PM, Fideicomisos, PPR","BI","BI",1,1,1,1,1,1,1,1,1,0,1,1,0.01,0,0,99999999.99,514546,500526,500363,500094,""
"OPTIMO-I","I","OPTIMO","PF, PM, Fideicomisos, PPR","BI","BI",1,1,1,1,1,1,1,1,1,0,1,1,0.01,0,100000000,,514547,500527,500363,500094,""
"OPTIMO-A","A","OPTIMO","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514548,500528,500364,500094,""
"OPTIMO-FF","FF","OPTIMO","FONDO DE FONDOS","FF","FF",0,1,0,0,1,0,1,0,0,0,1,1,,0,,,514549,500529,500365,500094,""
"MAXIMO-E","E","MAXIMO","Exentas","E","E",0,1,1,1,1,1,0,1,0,1,1,1,,0,,,514550,500530,500366,500095,""
"MAXIMO-C","C","MAXIMO","Gestión de Inversión","C","C",0,1,1,1,1,1,1,1,1,0,1,1,,0,,,514551,500531,500367,500095,""
"MAXIMO-A","A","MAXIMO","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514552,500532,500368,500095,""
"MAXIMO-B","B","MAXIMO","PF, Fideicomisos, Distribuidores","B","B",0,1,1,1,0,0,0,1,1,0,1,1,,0,,,514553,500533,500369,500095,""
"MAXIMO-FF","FF","MAXIMO","Fondo de Fondos","FF","FF",0,1,0,0,1,0,1,0,0,0,1,1,,0,,,514554,500534,500370,500095,""
"MAXIMO-M","M","MAXIMO","PM, Fideicomisos, Distribuidoras","M","M",0,1,1,0,1,1,1,0,0,0,1,1,,0,,,514555,500535,500371,500095,""
"ACTIPT4-M","M","ACTIPT4","PM, Fideicomisos, Distribuidoras","M","M",0,1,1,0,1,1,1,0,0,0,1,1,,0,,,514556,500536,500372,500096,""
"ACTIPT4-FF","FF","ACTIPT4","Fondo de Fondos","FF","FF",0,1,0,0,1,0,1,0,0,0,1,1,,0,,,514557,500537,500373,500096,""
"ACTIPT4-B-3","B-3","ACTIPT4","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,100000,0,1000000,44999999.99,514560,500538,500374,500096,""
"ACTIPT4-B-1","B-1","ACTIPT4","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,100000,0,45000000,,514559,500539,500374,500096,""
"ACTIPT4-B-2","B-2","ACTIPT4","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,100000,0,0,999999.99,514558,500540,500374,500096,""
"ACTIPT4-E","E","ACTIPT4","Exentas","E","E",0,1,1,1,1,1,0,1,0,1,1,1,,0,,,514561,500541,500375,500096,""
"ACTIPT4-C","C","ACTIPT4","Gestión de Inversión","C","C",0,1,1,1,1,1,1,1,1,0,1,1,,0,,,514562,500542,500376,500096,""
"ACTIPT4-A","A","ACTIPT4","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514563,500543,500377,500096,""
"ACTIEUR-F-3","F-3","ACTIEUR","PF Extranjeros","F","F",1,0,1,1,0,0,0,1,1,0,0,0,0.01,0,1000000,,514565,500544,500378,500097,""
"ACTIEUR-F-1","F-1","ACTIEUR","PF Extranjeros","F","F",1,0,1,1,0,0,0,1,1,0,0,0,0.01,0,0,99999.99,514566,500545,500378,500097,""
"ACTIEUR-F-2","F-2","ACTIEUR","PF Extranjeros","F","F",1,0,1,1,0,0,0,1,1,0,0,0,0.01,0,100000,999999.99,514564,500546,500378,500097,""
"ACTIEUR-E","E","ACTIEUR","Exentas","E","E",0,1,1,1,1,1,0,1,0,1,0,0,,0,,,514567,500547,500379,500097,""
"ACTIEUR-M-1","M-1","ACTIEUR","PM, Fideicomisos, Distribuidoras","M","M",1,1,0,0,1,1,1,0,0,0,0,0,0.01,0,0,999999.99,514569,500548,500380,500097,""
"ACTIEUR-M-2","M-2","ACTIEUR","PM, Fideicomisos, Distribuidoras","M","M",1,1,0,0,1,1,1,0,0,0,0,0,0.01,0,1000000,2999999.99,514570,500549,500380,500097,""
"ACTIEUR-M-3","M-3","ACTIEUR","PM, Fideicomisos, Distribuidoras","M","M",1,1,0,0,1,1,1,0,0,0,0,0,0.01,0,3000000,,514568,500550,500380,500097,""
"ACTIEUR-A","A","ACTIEUR","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514571,500551,500381,500097,""
"ACTIEUR-FF","FF","ACTIEUR","Fondo de Fondos","FF","FF",0,1,0,0,1,0,1,0,0,0,0,0,,0,,,514572,500552,500382,500097,""
"ACTIEUR-B-2","B-2","ACTIEUR","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,0,0,0.01,0,100000,999999.99,514574,500553,500383,500097,""
"ACTIEUR-B-1","B-1","ACTIEUR","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,0,0,0.01,0,0,99999.99,514573,500554,500383,500097,""
"ACTIEUR-B-3","B-3","ACTIEUR","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,0,0,0.01,0,1000000,,514575,500555,500383,500097,""
"ACTIEUR-D","D","ACTIEUR","DISTRIBUIDORAS","D","D",0,1,0,1,0,0,0,1,1,0,0,0,,0,,,514576,500556,500384,500097,""
"ACTIPT1-I","I","ACTIPT1","PF, PM, Fideicomisos, PPR","BI","BI",1,1,1,1,1,1,1,1,1,0,1,1,0.01,0,100000000,,514577,500557,500385,500098,""
"ACTIPT1-B","B","ACTIPT1","PF, PM, Fideicomisos, PPR","BI","BI",1,1,1,1,1,1,1,1,1,0,1,1,0.01,0,0,99999999.99,514578,500558,500385,500098,""
"ACTIPT1-FF","FF","ACTIPT1","Fondo de Fondos","FF","FF",0,1,0,0,1,0,1,0,0,0,1,1,,0,,,514579,500559,500386,500098,""
"ACTIPT1-A","A","ACTIPT1","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514580,500560,500387,500098,""
"ACTIPT1-D","D","ACTIPT1","DISTRIBUIDORAS","D","D",0,1,0,1,1,1,1,1,1,0,1,1,,0,,,514581,500561,500388,500098,""
"ACTIPT1-E","E","ACTIPT1","Exentas","E","E",0,1,1,1,1,1,0,1,0,1,1,1,,0,,,514582,500562,500389,500098,""
"ACTIPT8-C","C","ACTIPT8","Gestión de Inversión","C","C",0,1,1,0,1,1,1,0,0,0,0,0,,0,,,514583,500563,500390,500099,""
"ACTIPT8-B3","B3","ACTIPT8","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,0,0,10000,0,100000,499999.99,514586,500564,500391,500099,""
"ACTIPT8-B4","B4","ACTIPT8","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,0,0,10000,0,500000,999999.99,514584,500565,500391,500099,""
"ACTIPT8-B5","B5","ACTIPT8","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,0,0,10000,0,1000000,2999999.99,514587,500566,500391,500099,""
"ACTIPT8-B2","B2","ACTIPT8","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,0,0,10000,0,50000,99999.99,514588,500567,500391,500099,""
"ACTIPT8-B1","B1","ACTIPT8","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,0,0,10000,0,0,49999.99,514589,500568,500391,500099,""
"ACTIPT8-B6","B6","ACTIPT8","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,0,0,10000,0,3000000,,514585,500569,500391,500099,""
"ACTIPT8-E","E","ACTIPT8","Exentas","E","E",0,1,1,1,1,1,0,1,0,1,0,0,,0,,,514590,500570,500392,500099,""
"ACTIPT8-A","A","ACTIPT8","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514591,500571,500393,500099,""
"ACTPT13-FF","FF","ACTPT13","Fondo de Fondos","FF","FF",0,1,0,0,1,0,1,0,0,0,1,1,,0,,,514592,500572,500394,500100,""
"ACTPT13-A","A","ACTPT13","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514593,500573,500395,500100,""
"ACTPT13-M-3","M-3","ACTPT13","PM, Fideicomisos, Distribuidoras","M","M",1,1,1,0,1,1,1,0,0,0,1,1,10000,0,3000000,,514594,500574,500396,500100,""
"ACTPT13-M-1","M-1","ACTPT13","PM, Fideicomisos, Distribuidoras","M","M",1,1,1,0,1,1,1,0,0,0,1,1,10000,0,0,999999.99,514595,500575,500396,500100,""
"ACTPT13-M-2","M-2","ACTPT13","PM, Fideicomisos, Distribuidoras","M","M",1,1,1,0,1,1,1,0,0,0,1,1,10000,0,1000000,2999999.99,514596,500576,500396,500100,""
"ACTPT13-E","E","ACTPT13","Exentas","E","E",0,1,1,1,1,1,0,1,0,1,1,1,,0,,,514597,500577,500397,500100,""
"ACTPT13-B-1","B-1","ACTPT13","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,10000,0,0,99999.99,514599,500578,500398,500100,""
"ACTPT13-B-3","B-3","ACTPT13","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,10000,0,1000000,,514598,500579,500398,500100,""
"ACTPT13-B-2","B-2","ACTPT13","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,10000,0,100000,999999.99,514600,500580,500398,500100,""
"OPORT1-FF","FF","OPORT1","FONDO DE FONDOS","FF","FF",0,1,0,0,1,0,1,0,0,0,1,1,,0,,,514601,500581,500399,500101,""
"OPORT1-E","E","OPORT1","Exentas","E","E",0,1,1,1,1,1,0,1,0,1,1,1,,0,,,514602,500582,500400,500101,""
"OPORT1-B","B","OPORT1","PF, Fideicomisos, Distribuidores","B","B",0,1,1,1,0,0,0,1,1,0,1,1,,0,,,514603,500583,500401,500101,""
"OPORT1-C","C","OPORT1","Gestión de Inversión","C","C",0,1,1,1,1,1,1,1,1,0,1,1,,0,,,514604,500584,500402,500101,""
"OPORT1-M","M","OPORT1","PM, Fideicomisos, Distribuidoras","M","M",0,1,1,0,1,1,1,0,0,0,1,1,,0,,,514605,500585,500403,500101,""
"OPORT1-A","A","OPORT1","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514606,500586,500404,500101,""
"OPORT2-E","E","OPORT2","Exentas","E","E",0,1,1,1,1,1,0,1,0,1,1,1,,0,,,514607,500587,500405,500102,""
"OPORT2-C","C","OPORT2","Gestión de Inversión","C","C",0,1,1,1,1,1,1,1,1,0,1,1,,0,,,514608,500588,500406,500102,""
"OPORT2-A","A","OPORT2","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514609,500589,500407,500102,""
"OPORT2-FF","FF","OPORT2","FONDO DE FONDOS","FF","FF",0,1,0,0,1,0,1,0,0,0,1,1,,0,,,514610,500590,500408,500102,""
"OPORT2-M-4","M-4","OPORT2","PM, Fideicomisos, Distribuidoras","M","M",1,1,1,0,1,1,1,0,0,0,1,1,5000000,0,200000000.01,500000000,514613,500591,500409,500102,""
"OPORT2-M-2","M-2","OPORT2","PM, Fideicomisos, Distribuidoras","M","M",1,1,1,0,1,1,1,0,0,0,1,1,5000000,0,20000000.01,80000000,514612,500592,500409,500102,""
"OPORT2-M-5","M-5","OPORT2","PM, Fideicomisos, Distribuidoras","M","M",1,1,1,0,1,1,1,0,0,0,1,1,5000000,0,500000000.01,,514614,500593,500409,500102,""
"OPORT2-M-3","M-3","OPORT2","PM, Fideicomisos, Distribuidoras","M","M",1,1,1,0,1,1,1,0,0,0,1,1,5000000,0,80000000.01,200000000,514611,500594,500409,500102,""
"OPORT2-M-1","M-1","OPORT2","PM, Fideicomisos, Distribuidoras","M","M",1,1,1,0,1,1,1,0,0,0,1,1,5000000,0,0,20000000,514615,500595,500409,500102,""
"OPORT2-B-1","B-1","OPORT2","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,100000,0,0,1000000,514622,500596,500410,500102,""
"OPORT2-B-2","B-2","OPORT2","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,100000,0,1000000.01,5000000,514617,500597,500410,500102,""
"OPORT2-B-6","B-6","OPORT2","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,100000,0,200000000.01,500000000,514618,500598,500410,500102,""
"OPORT2-B-4","B-4","OPORT2","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,100000,0,20000000.01,80000000,514619,500599,500410,500102,""
"OPORT2-B-7","B-7","OPORT2","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,100000,0,500000000.01,,514620,500600,500410,500102,""
"OPORT2-B-5","B-5","OPORT2","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,100000,0,80000000.01,200000000,514616,500601,500410,500102,""
"OPORT2-B-3","B-3","OPORT2","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,100000,0,5000000.01,20000000,514621,500602,500410,500102,""
"OPORT3-C","C","OPORT3","Gestión de Inversión","C","C",0,1,1,1,1,0,1,1,1,1,1,1,,0,,,514623,500603,500411,500103,""
"OPORT3-E","E","OPORT3","Exentas","E","E",0,1,1,1,1,1,0,1,1,0,1,1,,0,,,514624,500604,500412,500103,""
"OPORT3-FF","FF","OPORT3","Fondo de Fondos","FF","FF",0,1,0,0,1,0,1,0,0,1,1,1,,0,,,514625,500605,500413,500103,""
"OPORT3-B","B","OPORT3","PF, Fideicomisos, Distribuidores","B","B",0,1,1,1,0,0,0,1,1,1,1,1,,0,,,514626,500606,500414,500103,""
"OPORT3-A","A","OPORT3","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514627,500607,500415,500103,""
"OPORT3-M","M","OPORT3","PM, Fideicomisos, Distribuidoras","M","M",0,1,1,0,1,0,1,0,0,1,1,1,,0,,,514628,500608,500416,500103,""
"ORION-CE","CE","ORION","PM No Contribuyentes","CE","CE",0,1,1,1,1,1,0,1,0,1,1,1,,0,,,514629,500609,500417,500104,""
"ORION-FF","FF","ORION","FONDO DE FONDOS","FF","FF",0,1,0,0,1,0,1,0,0,0,1,1,,0,,,514630,500610,500418,500104,""
"ORION-E","E","ORION","Exentas","E","E",0,1,1,1,1,1,0,1,0,1,1,1,,0,,,514631,500611,500419,500104,""
"ORION-M-1","M-1","ORION","PM, Fideicomisos, Distribuidoras","M","M",1,1,1,0,1,1,1,0,0,0,1,1,0.01,0,0,999999.99,514632,500612,500420,500104,""
"ORION-M-3","M-3","ORION","PM, Fideicomisos, Distribuidoras","M","M",1,1,1,0,1,1,1,0,0,0,1,1,0.01,0,3000000,,514633,500613,500420,500104,""
"ORION-M-2","M-2","ORION","PM, Fideicomisos, Distribuidoras","M","M",1,1,1,0,1,1,1,0,0,0,1,1,0.01,0,1000000,2999999.99,514634,500614,500420,500104,""
"ORION-B-1","B-1","ORION","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,0.01,0,0,99999.99,514637,500615,500421,500104,""
"ORION-B-2","B-2","ORION","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,0.01,0,100000,999999.99,514635,500616,500421,500104,""
"ORION-B-3","B-3","ORION","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,0.01,0,1000000,,514636,500617,500421,500104,""
"ORION-C","C","ORION","Gestión de Inversión","C","C",0,1,1,1,1,1,1,1,1,0,1,1,,0,,,514638,500618,500422,500104,""
"ORION-A","A","ORION","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514639,500619,500423,500104,""
"PROTEGE-E","E","PROTEGE","Exentas","E","E",0,1,1,1,1,1,0,1,0,1,1,1,,0,,,514640,500620,500424,500105,""
"PROTEGE-M","M","PROTEGE","PM, Fideicomisos, Distribuidoras","M","M",0,1,1,0,1,1,1,0,0,0,1,1,,0,,,514641,500621,500425,500105,""
"PROTEGE-A","A","PROTEGE","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514642,500622,500426,500105,""
"PROTEGE-C","C","PROTEGE","Gestión de Inversión","C","C",0,1,1,1,1,1,1,1,1,0,1,1,,0,,,514643,500623,500427,500105,""
"PROTEGE-B","B","PROTEGE","PF, Fideicomisos, Distribuidores","B","B",0,1,1,1,0,0,0,1,1,0,1,1,,0,,,514644,500624,500428,500105,""
"PRUEM-B-1","B-1","PRUEM","PF, Fideicomisos, Distribuidores","B","B",0,1,1,1,0,0,0,1,1,1,0,0,,0,,,514648,500625,500429,500106,""
"PRUEM-B-3","B-3","PRUEM","PF, Fideicomisos, Distribuidores","B","B",0,1,1,1,0,0,0,1,1,1,0,0,,0,,,514646,500626,500429,500106,""
"PRUEM-B-2","B-2","PRUEM","PF, Fideicomisos, Distribuidores","B","B",0,1,1,1,0,0,0,1,1,1,0,0,,0,,,514645,500627,500429,500106,""
"PRUEM-B-4","B-4","PRUEM","PF, Fideicomisos, Distribuidores","B","B",0,1,1,1,0,0,0,1,1,1,0,0,,0,,,514650,500628,500429,500106,""
"PRUEM-B-5","B-5","PRUEM","PF, Fideicomisos, Distribuidores","B","B",0,1,1,1,0,0,0,1,1,1,0,0,,0,,,514649,500629,500429,500106,""
"PRUEM-B-6","B-6","PRUEM","PF, Fideicomisos, Distribuidores","B","B",0,1,1,1,0,0,0,1,1,1,0,0,,0,,,514647,500630,500429,500106,""
"PRUEM-C","C","PRUEM","Gestión de Inversión","C","C",0,1,1,0,1,0,1,0,0,1,0,0,,0,,,514651,500631,500430,500106,""
"PRUEM-E","E","PRUEM","Exentas","E","E",0,1,0,0,1,1,0,0,0,1,0,0,,0,,,514652,500632,500431,500106,""
"PRUEM-A","A","PRUEM","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514653,500633,500432,500106,""
"PRUREF-A","A","PRUREF","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514654,500634,500433,500107,""
"PRUREF-B4","B4","PRUREF","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,1,0,1,1,1,1,0,0,10000,0,10000000,39999999.99,514659,500635,500434,500107,""
"PRUREF-B2","B2","PRUREF","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,1,0,1,1,1,1,0,0,10000,0,1000000,2999999.99,514658,500636,500434,500107,""
"PRUREF-B5","B5","PRUREF","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,1,0,1,1,1,1,0,0,10000,0,40000000,,514655,500637,500434,500107,""
"PRUREF-B3","B3","PRUREF","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,1,0,1,1,1,1,0,0,10000,0,3000000,9999999.99,514656,500638,500434,500107,""
"PRUREF-B1","B1","PRUREF","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,1,0,1,1,1,1,0,0,10000,0,0,999999.99,514657,500639,500434,500107,""
"PRUREF-E","E","PRUREF","Exentas","E","E",0,1,0,0,1,1,0,0,0,1,0,0,,0,,,514660,500640,500435,500107,""
"SNX-I","I","SNX","PF, PM, Fideicomisos, PPR","I","I",0,1,1,1,1,1,1,1,1,0,1,1,,0,,,514661,500641,500436,500108,""
"SNX-A","A","SNX","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514662,500642,500437,500108,""
"SNX-D","D","SNX","DISTRIBUIDORAS","D","D",0,1,0,1,1,1,1,1,1,0,1,1,,0,,,514663,500643,500438,500108,""
"SNX-B","B","SNX","PF, PM, Fideicomisos, PPR","B","B",0,1,1,1,1,1,1,1,1,0,1,1,,0,,,514664,500644,500439,500108,""
"SNX-FF","FF","SNX","FONDO DE FONDOS","FF","FF",0,1,0,0,1,0,1,0,0,0,1,1,,0,,,514665,500645,500440,500108,""
"SNX-E","E","SNX","Exentas","E","E",0,1,1,1,1,1,0,1,0,1,1,1,,0,,,514666,500646,500441,500108,""
"VTLS-RF-E-1","E-1","VTLS-RF","Exentas","E","E",1,1,1,1,1,1,0,1,0,1,1,1,10000,0,0,19999999.99,514669,500647,500442,500109,""
"VTLS-RF-E-2","E-2","VTLS-RF","Exentas","E","E",1,1,1,1,1,1,0,1,0,1,1,1,10000,0,20000000,49999999.99,514668,500648,500442,500109,""
"VTLS-RF-E-3","E-3","VTLS-RF","Exentas","E","E",1,1,1,1,1,1,0,1,0,1,1,1,10000,0,50000000,,514667,500649,500442,500109,""
"VTLS-RF-A","A","VTLS-RF","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514670,500650,500443,500109,""
"VTLS-RF-B-1","B-1","VTLS-RF","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,1000,0,0,19999999.99,514671,500651,500444,500109,""
"VTLS-RF-B-2","B-2","VTLS-RF","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,1000,0,20000000,49999999.99,514673,500652,500444,500109,""
"VTLS-RF-B-3","B-3","VTLS-RF","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,1000,0,50000000,,514672,500653,500444,500109,""
"VTLS-RF-M-3","M-3","VTLS-RF","PM, Fideicomisos, Distribuidoras","M","M",1,1,1,0,1,1,1,0,0,0,1,1,10000,0,50000000,,514675,500654,500445,500109,""
"VTLS-RF-M-2","M-2","VTLS-RF","PM, Fideicomisos, Distribuidoras","M","M",1,1,1,0,1,1,1,0,0,0,1,1,10000,0,20000000,49999999.99,514676,500655,500445,500109,""
"VTLS-RF-M-1","M-1","VTLS-RF","PM, Fideicomisos, Distribuidoras","M","M",1,1,1,0,1,1,1,0,0,0,1,1,10000,0,0,19999999.99,514674,500656,500445,500109,""
"VTLS-RV-A","A","VTLS-RV","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514677,500657,500446,500110,""
"VTLS-RV-B-3","B-3","VTLS-RV","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,10000,0,50000000,,514679,500658,500447,500110,""
"VTLS-RV-B-1","B-1","VTLS-RV","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,10000,0,0,19999999.99,514680,500659,500447,500110,""
"VTLS-RV-B-2","B-2","VTLS-RV","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,10000,0,20000000,49999999.99,514678,500660,500447,500110,""
"VTLS-RV-E-2","E-2","VTLS-RV","Exentas","E","E",1,1,1,1,1,1,0,1,0,1,1,1,10000,0,20000000,49999999.99,514683,500661,500448,500110,""
"VTLS-RV-E-1","E-1","VTLS-RV","Exentas","E","E",1,1,1,1,1,1,0,1,0,1,1,1,10000,0,0,19999999.99,514682,500662,500448,500110,""
"VTLS-RV-E-3","E-3","VTLS-RV","Exentas","E","E",1,1,1,1,1,1,0,1,0,1,1,1,10000,0,50000000,,514681,500663,500448,500110,""
"VTLS-RV-M-2","M-2","VTLS-RV","PM, Fideicomisos, Distribuidoras","M","M",1,1,1,0,1,1,1,0,0,0,1,1,10000,0,20000000,49999999.99,514684,500664,500449,500110,""
